sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,age_bucket,imc_cat
H,non,master,Occitanie,non,oui,857,célibataire,,0.11,2024-09-28,615.0,1377.97,13157.101646368172,retraite,surpoids
H,non,bac,Île-de-France,non,oui,5245,célibataire,2.0,0.79,2023-06-26,,10000.0,32408.309271881208,adulte,surpoids
H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,3792,célibataire,0.0,0.13,2023-06-13,,5000.0,17975.461375021725,retraite,insuffisant
F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3291,divorcé,,0.32,2024-01-12,,10000.0,16004.737730594868,retraite,obese
F,oui,bac,Corse,non,oui,3893,célibataire,,0.66,2023-02-16,,,10437.682759868923,,normal
F,non,bac,Occitanie,non,non,2577,veuf,,0.58,2023-04-03,,5000.0,500.0,retraite,normal
F,non,master,Bretagne,oui,oui,714,célibataire,0.0,0.46,2023-03-01,772.0,699.57,500.0,jeune,normal
H,oui,aucun,Île-de-France,oui,oui,2629,marié,,0.22,2023-06-14,,10000.0,500.0,senior,normal
H,oui,doctorat,Corse,oui,oui,1572,divorcé,,0.85,2024-11-15,356.0,5000.0,4494.300952230585,retraite,normal
F,oui,master,Hauts-de-France,oui,oui,500,célibataire,2.0,0.66,2021-12-28,356.0,10000.0,500.0,jeune,obese
F,non,master,Bretagne,non,oui,2847,marié,,0.37,2020-03-14,611.0,518.38,22788.001263240207,jeune,normal
H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3440,marié,2.0,0.14,2022-09-17,633.0,,18070.091787237645,jeune,normal
F,oui,bac+2,Bretagne,oui,oui,4508,célibataire,,0.33,2021-02-14,,831.36,8464.616164954017,adulte,insuffisant
F,oui,doctorat,Hauts-de-France,oui,oui,885,,3.0,0.48,2020-11-05,375.0,5000.0,12373.56023523041,senior,obese
H,oui,master,Île-de-France,oui,oui,3114,célibataire,4.0,0.5,2022-05-19,646.0,10000.0,20050.690685912497,senior,normal
H,oui,master,Occitanie,non,oui,1501,marié,,0.1,2021-07-08,,10000.0,16303.54507463377,jeune,obese
F,non,bac,Occitanie,oui,oui,1840,célibataire,2.0,0.52,2021-03-02,434.0,596.0,500.0,adulte,normal
H,oui,aucun,Auvergne-Rhône-Alpes,non,non,2050,marié,5.0,0.5,2025-01-03,634.0,,500.0,adulte,obese
F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3911,divorcé,3.0,0.67,2022-02-26,,,500.0,adulte,surpoids
F,non,aucun,Île-de-France,oui,oui,3821,marié,5.0,0.04,2020-07-30,,1141.89,500.0,adulte,surpoids
H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,500,marié,,0.5,2022-09-08,,925.87,17137.888522770147,jeune,surpoids
F,non,aucun,Bretagne,oui,non,3269,célibataire,,0.45,2021-12-01,,,500.0,jeune,normal
H,non,bac+2,Normandie,oui,oui,500,veuf,2.0,0.22,2022-10-02,,,500.0,retraite,surpoids
H,oui,master,Île-de-France,oui,oui,2802,marié,,0.01,2023-07-20,,5000.0,21691.867312082977,senior,insuffisant
F,oui,bac+2,Corse,non,oui,832,marié,,0.51,2021-09-10,689.0,,23167.904430812967,senior,insuffisant
H,non,doctorat,Île-de-France,oui,non,4635,célibataire,5.0,0.8,2020-10-05,,10000.0,1986.2237285384024,adulte,surpoids
F,oui,master,Provence-Alpes-Côte d’Azur,non,non,500,divorcé,4.0,0.96,2022-09-04,,10000.0,500.0,senior,obese
H,non,aucun,Hauts-de-France,oui,oui,900,,3.0,0.14,2022-05-02,,,500.0,jeune,surpoids
F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,3853,marié,2.0,0.4,2024-10-28,656.0,10000.0,500.0,senior,surpoids
H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2203,marié,,0.8,2021-11-28,,866.27,16750.901381517804,senior,normal
H,non,doctorat,Corse,non,non,1672,célibataire,5.0,0.12,2024-04-08,620.0,,500.0,retraite,surpoids
H,non,master,Auvergne-Rhône-Alpes,non,oui,2267,,,0.12,2021-01-05,818.0,10000.0,27822.25265661032,retraite,normal
F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2350,,4.0,0.08,2020-08-11,,10000.0,12238.402238366429,adulte,normal
H,oui,master,Île-de-France,non,non,2182,marié,3.0,0.02,2024-12-17,,10000.0,18547.59442206578,jeune,normal
F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,923,veuf,3.0,0.57,2021-07-22,,,500.0,adulte,normal
F,non,master,Hauts-de-France,oui,non,2214,,3.0,0.86,2025-06-09,464.0,10000.0,500.0,senior,normal
F,non,bac,Corse,non,non,1959,,5.0,0.5,2025-06-05,,5000.0,500.0,senior,normal
F,non,bac,Occitanie,oui,oui,2687,célibataire,,0.65,2020-04-03,,5000.0,500.0,jeune,normal
